appid,tempo_jogado,steamid
397720,0,76561198169352555
444090,3750,76561198169352555
596350,0,76561198169352555
537180,26465,76561198169352555
438740,795,76561198169352555
351940,65,76561198169352555
10,0,76561198226806708
80,0,76561198226806708
100,0,76561198226806708
300,309,76561198226806708
20,4,76561198226806708
30,9,76561198226806708
40,0,76561198226806708
50,0,76561198226806708
60,4,76561198226806708
70,413,76561198226806708
130,0,76561198226806708
220,262,76561198226806708
340,0,76561198226806708
240,0,76561198226806708
280,0,76561198226806708
360,0,76561198226806708
320,0,76561198226806708
380,0,76561198226806708
4000,1105,76561198226806708
6850,0,76561198226806708
17390,0,76561198275998061
1250,0,76561198275998061
35420,0,76561198275998061
550,0,76561198275998061
42700,0,76561198275998061
42710,0,76561198275998061
620,0,76561198275998061
104900,0,76561198275998061
4920,0,76561198275998061
113020,0,76561198275998061
35720,0,76561198275998061
242760,0,76561198275998061
263280,0,76561198275998061
39150,0,76561198275998061
253690,0,76561198275998061
271570,0,76561198275998061
271590,0,76561198275998061
222880,0,76561198275998061
285900,0,76561198275998061
301640,0,76561198275998061
