usuario_id,conquista_id
76561198098109169,WinIcebreakerHell
76561198098109169,WinMountainPassNormal
76561198098109169,WinMountainPassHard
76561198098109169,WinMountainPassSuicidal
76561198098109169,WinMountainPassHell
76561198098109169,WinSuburbiaNormal
76561198098109169,WinSuburbiaHard
76561198098109169,WinSuburbiaSuicidal
76561198098109169,WinSuburbiaHell
76561198098109169,WinWaterworksNormal
76561198098109169,WinWaterworksHard
76561198098109169,WinWaterworksSuicidal
76561198098109169,WinWaterworksHell
76561198098109169,CompleteNewAchievementsNormal
76561198098109169,CompleteNewAchievementsHard
76561198098109169,CompleteNewAchievementsSuicidal
76561198098109169,CompleteNewAchievementsHell
76561198098109169,Get1000BurnDamageWithMac10
76561198098109169,WinSantasEvilLairNormal
76561198098109169,WinSantasEvilLairHard
76561198098109169,WinSantasEvilLairSuicidal
76561198098109169,WinSantasEvilLairHell
76561198098109169,KillChristmasPatriarch
76561198098109169,KnifeChristmasFleshpound
76561198098109169,MeleeKill2ChristmasGorefastFromBack
76561198098109169,KillChristmasScrakeWithFire
76561198098109169,Kill3ChristmasBloatsWithBullpup
76561198098109169,KillChristmasCrawlerWithXBow
76561198098109169,KillChristmasSirenWithLawImpact
76561198098109169,Kill3ChristmasStalkersWithLAR
76561198098109169,KillChristmasHuskWithPistol
76561198098109169,MeleeKill3ChristmasZedsInOneSlomo
76561198098109169,Drop3Tier3WeaponsForOthersChristmas
76561198098109169,ChristmasVomitLive10Seconds
76561198098109169,Unlock10ofChristmasAchievements
76561198098109169,Kill20ChristmasClots
76561198098109169,Achievement132
76561198098109169,Achievement133
76561198098109169,Achievement134
76561198098109169,Achievement135
76561198098109169,Achievement136
76561198098109169,Achievement137
76561198098109169,WinSideshowNormal
76561198098109169,WinSideshowHard
76561198098109169,WinSideshowSuicidal
76561198098109169,WinSideshowHell
76561198098109169,KillSideshowPatriarch
76561198098109169,KillSideshowGorefastWithMelee
76561198098109169,Kill2SideshowStalkerWithBackstab
76561198098109169,Kill5SideshowCrawlersWithBullpup
76561198098109169,Kill5SideshowBloats
76561198098109169,KillSideshowScrakeWithCrossbow
76561198098109169,KillSideshowHuskWithLAW
76561198098109169,Kill3SideshowClotsWithLAR
76561198098109169,KillSideshowFleshpoundWithPistol
76561198098109169,Drop5Tier2WeaponsOneWaveSideshow
76561198098109169,SurviveSideshowSirenScreamPlus10Sec
76561198098109169,MeleeKill4SideshowZedsInOneSlomo
76561198098109169,Kill10SideshowClotsWithFireWeapon
76561198098109169,Unlock10ofSideshowAchievements
76561198098109169,KillHalloweenPatriarchInBedlam
76561198098109169,DecapBurningHalloweenZedInBedlam
76561198098109169,Kill250HalloweenZedsInBedlam
76561198098109169,WinBedlamHardHalloween
76561198098109169,Kill25HalloweenScrakesInBedlam
76561198098109169,Kill5HalloweenZedsWithoutReload
76561198098109169,Unlock6ofHalloweenAchievements
76561198098109169,Kill15XMasHusksWithHuskCannon
76561198098109169,KillXMasPatriarchWithClaymoreDecap
76561198098109169,Kill1XMasZedWithFullM4Clip
76561198098109169,KillXMasScrakeWithDirectM203Nade
76561198098109169,Heal3000PointsWithMP5DuringXMas
76561198098109169,Kill12XMasZedsWith1BenelliClip
76561198098109169,KillXMasZedWithEveryRevolverShot
76561198098109169,HoldAll3DualiesDuringXMas
76561198098109169,WinIceCaveNormal
76561198098109169,WinIceCaveHard
76561198098109169,WinIceCaveSuicidal
76561198098109169,WinIceCaveHell
76561198098109169,KillSelectXMasZedsOnSingleMap
76561198098109169,Kill12ClotsWithOneMagWithMK23
76561198098109169,KillZedThatHurtPlayerWithM7A3
76561198098109169,KillOneOfEachZedsWithKSG
76561198098109169,KillZedWithSA80AndFNFal
76561198098109169,Kill2ScrakesOneBulletWithBarret
76561198098109169,WinHellrideNormal
76561198098109169,WinHellrideHard
76561198098109169,WinHellrideSuicidal
76561198098109169,WinHellrideHell
76561198098109169,Kill6ZedWithoutReloadingMKB42
76561198098109169,Kill4StalkersNailgun
76561198098109169,HealAllPlayersWith1MedicNade
76561198098109169,Set200ZedOnFireInHillbilly
76561198098109169,WinHillbillyNormal
76561198098109169,WinHillbillyHard
76561198098109169,WinHillbillySuicidal
76561198098109169,WinHillbillyHell
76561198098109169,Complete6ReaperAchievements
76561198098109169,Destroy25GnomesInHillbilly
76561198098109169,Kill1000HillbillyZeds
76561198098109169,Kill15HillbillyCrawlersThomOrMKB
76561198098109169,Kill1Hillbilly1HuskAndZedIn1Shot
76561198098109169,Kill5HillbillyZedsIn10SecsSythOrAxe
76561198098109169,Set3HillbillyGorefastsOnFire
76561198098109169,HaveMyAxe
76561198098109169,OneSmallStepForMan
76561198098109169,ButItsAllRed
76561198098109169,GameOverMan
76561198098109169,HereIsToUs
76561198098109169,AttemptingReentry
76561198098109169,AmusingDeath
76561198098109169,AGiantstepBackForHumanity
76561198098109169,DwarfAxe
76561198098109169,WinSteamLandNormal
76561198098109169,WinSteamLandHard
76561198098109169,WinSteamLandSuicidal
76561198098109169,WinSteamLandHell
76561198098109169,WinSteamLandObjNormal
76561198098109169,WinSteamLandObjHard
76561198098109169,WinSteamLandObjSuicidal
76561198098109169,WinSteamLandObjHell
76561198098109169,DestroyPukeyDolls
76561198098109169,CompleteArcadeGames
76561198098109169,AllBreakersActive
76561198098109169,EscortRingmaster
76561198098109169,DefendRingmaster
76561198098109169,NoCarrierDamageGoldBars
76561198098109169,GetHeadshotsOn4ZedsSPS
76561198098109169,PushScrakeSPJ
76561198098109169,KillZedWithImpactSPG
76561198098109169,Kill5ZedsInZedTimeNoReloadSPT
76561198098109169,CompleteSPMrsFosterAchievements
76561198098109169,WinFrightyardNormal
76561198098109169,WinFrightyardHard
76561198098109169,WinFrightyardSuicidal
76561198098109169,WinFrightyardHell
76561198098109169,WinFrightyardObjNormal
76561198098109169,WinFrightyardObjHard
76561198098109169,WinFrightyardObjSuicidal
76561198098109169,WinFrightyardObjHell
76561198098109169,ClawMachineMaster
76561198098109169,ExScientist
76561198098109169,777
76561198098109169,BlindingBigBrother
76561198098109169,ScrakeAndFP1ShotLawHarpoon
76561198098109169,BileOrFlameEachZed
76561198098109169,Kill10ZedsSeekerOrM32In5Secs
76561198098109169,WinHellNormal
76561198098109169,WinHellHard
76561198098109169,WinHellSuicidal
76561198098109169,WinHellHell
76561198098109169,WinForgottenNormal
76561198098109169,WinForgottenHard
76561198098109169,WinForgottenSuicidal
76561198098109169,WinForgottenHell
76561198098109169,PlayWithOrAsBallHero
76561198098109169,WinSirensBelchNormal
76561198098109169,WinSirensBelchHard
76561198098109169,WinSirensBelchSuicidal
76561198098109169,WinSirensBelchHell
76561198098109169,DestroyBeerSteins
76561198098109169,WinStrongholdNormal
76561198098109169,WinStrongholdHard
76561198098109169,WinStrongholdSuicidal
76561198098109169,WinStrongholdHell
76561198098109169,DestroyGoldBags
76561198098109169,WinTransitNormal
76561198098109169,WinTransitHard
76561198098109169,WinTransitSuicidal
76561198098109169,WinTransitHell
76561198098109169,WinTransitObjNormal
76561198098109169,WinTransitObjHard
76561198098109169,WinTransitObjSuicidal
76561198098109169,WinTransitObjHell
76561198098109169,NitroInXSeconds
76561198098109169,KillXZedsDuringWeld
76561198098109169,PickUpDoorKey
76561198098109169,DestroyDNAVials
76561198098109169,CompleteMsClamleyAchievements
76561198098109169,WinClandestineNormal
76561198098109169,WinClandestineHard
76561198098109169,WinClandestineSuicidal
76561198098109169,WinClandestineHell
76561198098109169,DestroySkulls
76561198098109169,WinThrillsChillsNormal
76561198098109169,WinThrillsChillsHard
76561198098109169,WinThrillsChillsSuicidal
76561198098109169,WinThrillsChillsHell
76561198098109169,CollectSnowGlobes
76561198011395825,WinWestLondonNormal
76561198011395825,WinManorNormal
76561198011395825,WinBioticsLabNormal
76561198011395825,WinFarmNormal
76561198011395825,WinOfficesNormal
76561198011395825,WinAllMapsNormal
76561198011395825,KillXEnemies
76561198011395825,KillXBloats
76561198011395825,KillXSirens
76561198011395825,KillXStalkersWithExplosives
76561198011395825,KillXEnemiesWithFireAxe
76561198011395825,KillXScrakesWithChainsaw
76561198011395825,KillXBurningEnemiesWithCrossbow
76561198011395825,KillXEnemiesFeedingOnCorpses
76561198011395825,KillXEnemiesWithGrenade
76561198011395825,Kill4EnemiesWithHuntingShotgunShot
76561198011395825,KillEnemyUsingBloatAcid
76561198011395825,KillFleshpoundWithMelee
76561198011395825,MedicKillXEnemiesWithKnife
76561198011395825,TurnXEnemiesIntoGiblets
76561198011395825,TurnXFleshpoundsIntoGiblets
76561198011395825,HealSelfXTimes
76561198011395825,OnlySurvivorXWaves
76561198011395825,DonateXCashToTeammates
76561198011395825,AcquireXMinutesOfZedTime
76561198011395825,MaxOutAllPerks
76561198011395825,KillPatriarchBeforeHeHeals
76561198011395825,KillPatriarchWithLAW
76561198011395825,DefeatPatriarchOnSuicidal
76561198011395825,KillXEnemies2
76561198011395825,KillXEnemies3
76561198011395825,WinWestLondonHard
76561198011395825,WinManorHard
76561198011395825,WinFarmHard
76561198011395825,WinOfficesHard
76561198011395825,WinBioticsLabHard
76561198011395825,WinAllMapsHard
76561198011395825,WinWestLondonSuicidal
76561198011395825,WinManorSuicidal
76561198011395825,WinFarmSuicidal
76561198011395825,WinOfficesSuicidal
76561198011395825,WinBioticsLabSuicidal
76561198011395825,WinAllMapsSuicidal
76561198011395825,WinFoundryNormal
76561198011395825,WinFoundryHard
76561198011395825,WinFoundrySuicidal
76561198011395825,WinAsylumNormal
76561198011395825,WinAsylumHard
76561198011395825,WinAsylumSuicidal
76561198011395825,WinWyreNormal
76561198011395825,WinWyreHard
76561198011395825,WinWyreSuicidal
76561198011395825,WinAll3SummerMapsNormal
76561198011395825,WinAll3SummerMapsHard
76561198011395825,WinAll3SummerMapsSuicidal
