categoria_id,jogo_id
23,41500
17,41500
62,41500
2,21130
1,21130
24,21130
28,21130
41,21130
42,21130
43,21130
44,21130
62,21130
2,57300
22,57300
28,57300
13,57300
17,57300
14,57300
41,57300
42,57300
43,57300
44,57300
62,57300
2,40800
22,40800
28,40800
29,40800
25,40800
41,40800
42,40800
43,40800
62,40800
2,42910
1,42910
9,42910
24,42910
22,42910
28,42910
29,42910
25,42910
41,42910
42,42910
43,42910
44,42910
62,42910
2,113200
22,113200
29,113200
62,113200
2,204120
1,204120
24,204120
28,204120
41,204120
42,204120
43,204120
44,204120
62,204120
2,207570
23,207570
62,207570
2,204300
1,204300
49,204300
36,204300
9,204300
38,204300
39,204300
24,204300
22,204300
28,204300
29,204300
30,204300
23,204300
8,204300
25,204300
17,204300
43,204300
44,204300
2,217690
22,217690
29,217690
23,217690
62,217690
2,200710
1,200710
9,200710
27,200710
22,200710
29,200710
30,200710
23,200710
62,200710
2,2310
1,2310
49,2310
36,2310
37,2310
9,2310
38,2310
39,2310
24,2310
27,2310
28,2310
23,2310
44,2310
62,2310
2,7670
18,7670
62,7670
2,409710
22,409710
28,409710
23,409710
14,409710
41,409710
42,409710
43,409710
62,409710
2,420
22,420
28,420
13,420
23,420
15,420
16,420
14,420
44,420
62,420
2,12120
62,12120
18,12250
41,12250
42,12250
62,12250
2,16730
62,16730
2,10500
1,10500
49,10500
36,10500
47,10500
9,10500
38,10500
48,10500
22,10500
29,10500
15,10500
62,10500
2,16720
18,16720
62,16720
2,6060
1,6060
49,6060
36,6060
23,6060
62,6060
2,8600
1,8600
62,8600
2,8780
1,8780
2,8690
1,8690
21,8690
62,8690
2,11390
44,11390
62,11390
2,20900
23,20900
62,20900
2,17450
29,17450
62,17450
2,9050
1,9050
23,9050
62,9050
2,9070
1,9070
23,9070
62,9070
2,208200
1,208200
22,208200
18,208200
25,208200
62,208200
2,12140
62,12140
2,12150
62,12150
2,19200
22,19200
62,19200
2,19000
62,19000
2,13600
62,13600
2,21000
1,21000
24,21000
28,21000
41,21000
42,21000
43,21000
44,21000
62,21000
2,17390
29,17390
62,17390
2,17410
28,17410
29,17410
43,17410
62,17410
2,26000
22,26000
62,26000
2,21680
1,21680
24,21680
18,21680
41,21680
42,21680
44,21680
62,21680
2,3730
1,3730
62,3730
2,10680
1,10680
9,10680
22,10680
23,10680
15,10680
25,10680
62,10680
2,45740
1,45740
9,45740
22,45740
29,45740
18,45740
23,45740
62,45740
2,47790
1,47790
62,47790
2,47790
1,47790
62,47790
2,224300
62,224300
2,224940
62,224940
2,214510
1,214510
24,214510
22,214510
28,214510
23,214510
41,214510
42,214510
43,214510
44,214510
62,214510
2,223710
1,223710
9,223710
23,223710
8,223710
2,2620
1,2620
62,2620
2,41000
1,41000
49,41000
36,41000
37,41000
9,41000
38,41000
39,41000
24,41000
22,41000
29,41000
18,41000
23,41000
25,41000
44,41000
62,41000
2,564310
1,564310
49,564310
36,564310
37,564310
9,564310
38,564310
39,564310
24,564310
27,564310
22,564310
28,564310
52,564310
53,564310
30,564310
23,564310
25,564310
17,564310
44,564310
62,564310
2,47810
62,47810
2,20920
22,20920
29,20920
18,20920
23,20920
25,20920
62,20920
2,92100
1,92100
49,92100
36,92100
9,92100
22,92100
29,92100
62,92100
2,102600
22,102600
18,102600
23,102600
15,102600
25,102600
