appid,id,percentual_obtencao_usuarios
1250,WinFarmSuicidal,2.9000000953674316
1250,KillXEnemiesFeedingOnCorpses,2.9000000953674316
1250,Set200ZedOnFireInHillbilly,2.799999952316284
1250,Unlock6ofHalloweenAchievements,2.799999952316284
1250,WinDepartedSuicidal,2.799999952316284
1250,WinBiohazardSuicidal,2.799999952316284
1250,WinBioticsLabHell,2.799999952316284
1250,WinWestLondonHell,2.799999952316284
1250,WinFoundrySuicidal,2.799999952316284
1250,WinThrillsChillsNormal,2.700000047683716
1250,ScrakeAndFP1ShotLawHarpoon,2.700000047683716
1250,CompleteSPMrsFosterAchievements,2.700000047683716
1250,WinSideshowSuicidal,2.700000047683716
1250,Achievement135,2.700000047683716
1250,CompleteNewAchievementsHard,2.700000047683716
1250,WinCrashSuicidal,2.700000047683716
1250,WinWyreSuicidal,2.700000047683716
1250,WinAsylumSuicidal,2.700000047683716
1250,WinClandestineNormal,2.5999999046325684
1250,WinForgottenHard,2.5999999046325684
1250,WinHellHard,2.5999999046325684
1250,WinIceCaveSuicidal,2.5999999046325684
1250,WinWaterworksSuicidal,2.5999999046325684
1250,WinSuburbiaSuicidal,2.5999999046325684
1250,WinMountainPassHell,2.5999999046325684
1250,WinIcebreakerSuicidal,2.5999999046325684
1250,WinHospitalHorrorsSuicidal,2.5999999046325684
1250,WinFilthsCrossSuicidal,2.5999999046325684
1250,WinDepartedHell,2.5999999046325684
1250,WinBiohazardHell,2.5999999046325684
1250,WinOfficesHell,2.5999999046325684
1250,WinManorHell,2.5999999046325684
1250,WinAll3SummerMapsSuicidal,2.5999999046325684
1250,WinAllMapsSuicidal,2.5999999046325684
1250,777,2.5
1250,WinSteamLandObjHard,2.5
1250,WinHellrideSuicidal,2.5
1250,WinIceCaveHell,2.5
1250,WinSideshowHell,2.5
1250,Achievement136,2.5
1250,WinSantasEvilLairHell,2.5
1250,WinSantasEvilLairSuicidal,2.5
1250,WinWaterworksHell,2.5
1250,WinIcebreakerHell,2.5
1250,WinHospitalHorrorsHell,2.5
1250,WinFilthsCrossHell,2.5
1250,WinCrashHell,2.5
1250,WinWyreHell,2.5
1250,WinAsylumHell,2.5
1250,WinFoundryHell,2.5
1250,WinFarmHell,2.5
1250,CollectSnowGlobes,2.4000000953674316
1250,WinTransitHard,2.4000000953674316
1250,DestroyBeerSteins,2.4000000953674316
1250,AmusingDeath,2.4000000953674316
1250,OneSmallStepForMan,2.4000000953674316
1250,WinHillbillySuicidal,2.4000000953674316
1250,CompleteNewAchievementsSuicidal,2.4000000953674316
1250,WinSuburbiaHell,2.4000000953674316
1250,WinTransitObjHard,2.299999952316284
1250,WinSirensBelchHard,2.299999952316284
1250,WinFrightyardObjHard,2.299999952316284
1250,WinSteamLandSuicidal,2.299999952316284
1250,AGiantstepBackForHumanity,2.299999952316284
1250,HaveMyAxe,2.299999952316284
1250,WinHillbillyHell,2.299999952316284
1250,WinHellrideHell,2.299999952316284
1250,CompleteNewAchievementsHell,2.299999952316284
1250,CompleteMsClamleyAchievements,2.200000047683716
1250,WinStrongholdHard,2.200000047683716
1250,WinFrightyardHell,2.200000047683716
1250,WinFrightyardSuicidal,2.200000047683716
1250,WinSteamLandObjSuicidal,2.200000047683716
1250,WinSteamLandHell,2.200000047683716
1250,DestroySkulls,2.0999999046325684
1250,DestroyGoldBags,2.0999999046325684
1250,PlayWithOrAsBallHero,2.0999999046325684
1250,WinForgottenSuicidal,2.0999999046325684
1250,WinHellSuicidal,2.0999999046325684
1250,WinSteamLandObjHell,2.0999999046325684
1250,WinThrillsChillsHard,2.0
1250,WinClandestineHard,2.0
1250,WinTransitSuicidal,2.0
1250,WinForgottenHell,2.0
1250,WinHellHell,2.0
1250,WinFrightyardObjHell,2.0
1250,WinFrightyardObjSuicidal,2.0
1250,WinTransitHell,1.899999976158142
1250,WinStrongholdHell,1.899999976158142
1250,WinStrongholdSuicidal,1.899999976158142
1250,WinSirensBelchHell,1.899999976158142
1250,WinSirensBelchSuicidal,1.899999976158142
1250,WinClandestineHell,1.7999999523162842
1250,WinClandestineSuicidal,1.7999999523162842
1250,WinTransitObjHell,1.7999999523162842
1250,WinTransitObjSuicidal,1.7999999523162842
1250,WinThrillsChillsHell,1.7000000476837158
